gene_id	Camb13_P	Camb13_R	Camb4_P	Camb7_P	Camb4_R	Camb7_R	Camb8_P	Camb9_P	Camb9_R	Camb8_R	Camb10_P	Camb10_R
ENSG00000000003	696	663	599	323	496	460	467	422	554	586	128	455
ENSG00000000005	1	3	13	1	7	2	4	5	3	8	1	3
ENSG00000000419	163.57	227.65	114.07	62.67	92.62	82.33	101	86.74	161.34	176.31	54.24	122
ENSG00000000457	406.84	438.74	416.8	299.15	411.82	251.85	238	397.83	446.37	371.23	134.55	291
ENSG00000000460	219.16	303.26	236.2	187.85	256.18	217.15	136	285.17	329.63	188.77	62.45	159
ENSG00000000938	75	64	191	104	44	42	39	48	81	36	112	86
ENSG00000000971	107.61	66	278	318.69	57	48.42	484	122.83	183.8	702	222	591
ENSG00000001036	415.63	504	449.81	284.33	241.19	220.74	338	292.75	421.14	422.06	124	312
ENSG00000001084	470.94	676.96	759.76	387	935.61	406.86	537	554.88	806.91	1093	149	720
ENSG00000001167	706.19	893.31	947.72	624.88	914.63	768.64	458	538.31	834.39	646.31	265.82	536
ENSG00000001460	68	130	38	22	12	37	49	7.02	17	80	58	217
ENSG00000001461	760	1756	334	184	251	527	622	261.98	329	570	139	1132
ENSG00000001497	282	331	311	208	409	215	185	339	422	284	120	304
ENSG00000001561	117	300	120	80	82	307	80	50	19	44	27	322
ENSG00000001617	65	21	116	156	49	13	88	62	167	141	51	135
ENSG00000001626	12	27	13	6	40	9	2	21	20	12	8	1
ENSG00000001629	2845.93	2977.74	4179	2435.9	2856.88	2688	2327	2266	2908.7	2940.93	675	2311
ENSG00000001630	2080.72	1594.68	1596.7	885.86	1473.59	1031	1206.64	917.92	1307.85	1402.95	295.99	898.54
ENSG00000001631	1272.61	1659.2	2222.98	1035.89	1637.69	973.93	1044.02	1490.62	1871.57	1558.79	540.81	1481.44
ENSG00000002016	257	275	396	209.34	291.35	205.54	210.38	280.24	235.37	372	99.33	168.14
ENSG00000002079	0	0	0	0	2.47	0	0	0	0	0	0	0
ENSG00000002330	188.54	189.09	237.24	144.86	115.59	132.28	128	96.89	127.73	194.01	62.26	214
ENSG00000002549	826	723	663	651	221	440	691	304	386	884	112	727
ENSG00000002586	1383.5	780	1948.5	929	412	621	1042	411.5	606.5	1323.5	334	1111.5
ENSG00000002587	65	107	313	218	376	143	307	237	330	781	77	107
ENSG00000002726	7	18	9	30	19	10	0	6	21	15	4	0
ENSG00000002745	19	4	21	20	5	7	5	9	36	19	40	84
